100000  53.163838562  1880.9777981584111  0.860800047
200000  102.516068174  1950.9136817512453  1.030910492
300000  156.069413501  1922.2216145386985  0.920770098
400000  209.821158696  1906.385430744576  0.982247604
500000  279.169964409  1791.0236191006256  1.23390815
600000  361.607163969  1659.2591623860556  1.155393631
700000  433.54347885  1614.6016124075766  1.098224145
800000  506.521067902  1579.401234609221  0.90950442
900000  602.860497844  1492.8826871534213  1.476847058
1000000  703.626287979  1421.208981364615  1.311926026
1100000  818.044790679  1344.669647106938  3.382802562
1200000  931.843618394  1287.769724782961  2.999493581
1300000  1084.178486932  1199.0645596360523  0.660920663
1400000  1217.277221687  1150.1077774705816  0.69949393
1500000  1384.564946873  1083.3727976341643  1.86607439
1600000  1571.581375567  1018.0828208292728  8.221964663
1700000  1746.243848451  973.5181037333242  1.647405885
1800000  1939.070551286  928.279787863434  7.897722755
1900000  2125.409861449  893.9452265007717  2.203311384
2000000  2346.496959809  851.4820322471813  10.693818627
