0.100000 25.199132976 3968.3905035638077
#200000 49.380902734 4050.148719988769
#300000 75.209213795 3988.872969975713
#400000 96.783478161 4132.9368152547395
0.500000 120.015856028 4166.116182876275
#600000 162.120588945 3700.948805481777
#700000 194.184221612 3604.824296171045
#800000 214.402598054 3731.298068498731
#900000 246.513765901 3650.9117318885965
1.000000 264.850722519 3775.7118065942277
#1100000 300.081999335 3665.6647264336652
#1200000 336.800306139 3562.9421295856873
#1300000 372.38358117 3491.0239487882413
#1400000 417.795094141 3350.9249381648306
1.500000 449.561410991 3336.585310321551
#1600000 485.90769618 3292.8064580547307
#1700000 535.563699616 3174.225589260255
#1800000 582.545932158 3089.8851071400118
#1900000 629.557209737 3017.9941880003767
2.000000 670.510093763 2982.8037170562334
#2100000 715.315155792 2935.768916674037
#2200000 778.280572643 2826.7440783327215
#2300000 836.59839947 2749.22830531004
#2400000 863.004381502 2780.982404542332
2.500000 884.641006167 2826.005105542278
#2600000 898.853719296 2892.573000683995
#2700000 911.738986261 2961.373858841527
#2800000 943.75819518 2966.8616540765133
#2900000 965.71694759 3002.9503026089687
3.000000 1000.060612774 2999.818172699057
#3100000 1028.370470361 3014.4778456267554
#3200000 1059.736313308 3019.6190880834306
#3300000 1081.339510541 3051.7704826571926
#3400000 1107.177791729 3070.870844230414
3.500000 1141.163273877 3067.0457769895306
#3600000 1172.521589901 3070.3059380799637
#3700000 1193.655023447 3099.723058438823
#3800000 1238.830084675 3067.4101694881815
#3900000 1266.045490846 3080.4580310885453
4.000000 1305.696685362 3063.4986247904994
#4100000 1339.863672952 3060.0128078454745
#4200000 1373.937727985 3056.907103176843
#4300000 1397.803676453 3076.254607450651
#4400000 1423.845663684 3090.2225657067493
4.500000 1486.110412891 3028.0388058421177
#4600000 1507.111928508 3052.1953366488683
#4700000 1535.995318816 3059.905158840541
#4800000 1564.501153991 3068.070603690723
#4900000 1596.804589035 3068.628455634153
5.000000 1621.556629629 3083.456913338859
#5100000 1639.440935619 3110.8165528844775
#5200000 1675.842891276 3102.91616658688
#5300000 1706.55000822 3105.681037456448
#5400000 1747.169151794 3090.71390967226
5.500000 1771.16859758 3105.2944409215543
#5600000 1818.538543594 3079.3958256901456
#5700000 1850.959475584 3079.4839515336125
#5800000 1890.607082874 3067.797668029017
#5900000 1932.424322855 3053.159665928459
#6000000 1980.335398367 3029.789804771276
6.000000 2610.335754347 2298.554885136206
###### Done ######

