# for unsorted data
#1 54.341360844 1840.218913307566
#2 114.406753999 1748.1485402666713
#3 175.224428244 1712.0900493523086
#4 245.130062342 1631.786799947568
#5 305.089612088 1638.8627478269566
#6 368.24258537 1629.360709047642
#7 428.227198429 1634.6462872232994
#8 491.930061712 1626.247432848207
#9 567.06784214 1587.1116877366576
#10 628.145568013 1591.9876712069774
#11 704.763704256 1560.8068255462167
#12 802.933653509 1494.519497041544
#13 873.123780885 1488.9068749018809
#14 979.622377774 1429.1221104822307
#15 1060.328635902 1414.6557484265059
#16 1156.932551414 1382.967397748887
#17 1252.633446429 1357.1408338539497
#18 1328.770826739 1354.635399708064
#19 1442.273525545 1317.3645403232624
#20 1709.788520049 1169.7353073482345
#30 2382.921232727 1258.9589445081317



#				 Unsorted data               Sorted Data
#--------------------------------------------------------------------------
0.5 305.089612088  1638.8627478269566 338.108547176 1478.8150260505795
1 628.145568013 1591.9876712069774 759.073040149 1317.3962808687131
1.5 1060.328635902 1414.6557484265059 1184.178050981 1266.7014041996183
2 1709.788520049 1169.7353073482345 1621.758028535 1233.2295970235962



 #set xlabel "Triple number*100,000" 
 #set ylabel "Loading time (s)" 
 #set title "Loading time vs triple number with buffer size 2000" 
 # plot "copy_ar_b2000_1.dat" u 1:2 t "buffer size=2,000" w linespoints, "copy_ar_b100000.dat" u 1:2 t "buffer size=100,000" with linespoints,"copy_ar_b500000.dat" u 1:2 t "buffer size=500,000" with linespoints,"copy_ar_b1000000.dat" u 1:2 t "buffer size=1,000,000" with linespoints,"3store_load.dat" u 1:2 t "3Store" w linespoints

 
 #set xlabel "Triple number" 
 #set ylabel "Average loading speed (number/s)" 
 #set title "Average loading speed vs triple number with buffer size 2000" 
 #plot "copy_mp_b2000_1.dat" u 1:3 t "MultiProp table" w linespoints, "copy_ar_b2000_1.dat" u 1:3 t "Array" with linespoints,"3store_load.dat" u 1:3 t "3Store" w linespoints
 

