1  54.230774931  1843.971437384659  54.230774931
2  101.559884287  1969.2814875095387  47.329109356
3  133.24038097  2251.569665412073  31.680496683
4  190.282461667  2102.138034665601  57.042080697
5  257.80418014  1939.4565275414698  67.521718473
6  327.298395397  1833.1895555803865  69.494215257
7  359.204528159  1948.7504892759835  31.906132762
8  398.188500983  2009.0987008039058  38.983972824
9  437.361644777  2057.7936148445024  39.173143794
10  483.089434341  2070.0100828413615  45.727789564
11  520.004237899  2115.367375551374  36.914803558
12  564.768371399  2124.764878435834  44.7641335
13  613.356997048  2119.4834431769996  48.588625649
14  673.800991956  2077.7648247977377  60.443994908
15  739.093465301  2029.5132759550463  65.292473345
16  816.605514388  1959.3303887974726  77.512049087
17  863.606134509  1968.4899540072497  47.000620121
18  915.356568013  1966.4468065240737  51.750433504
19  946.735251198  2006.896856957357  31.378683185
20  1008.439248913  1983.2627519761916  61.703997715
###### Done ######

