0.100000 32.673475692 3060.5865425111388
#200000 61.720840539 3240.39657032254
#300000 92.465159646 3244.4652791228687
#400000 121.531122711 3291.337980569773
0.500000 149.701340704 3339.983447366949
#600000 177.0050516 3389.7337650899
#700000 200.705975841 3487.6888795505647
#800000 225.5513007 3546.8649372324367
#900000 248.851394391 3616.616262900673
1.000000 268.262361995 3727.694010308604
#1100000 287.856461477 3821.3489958011282
#1200000 308.445557374 3890.4758759256893
#1300000 439.647413675 2956.914926743996
#1400000 480.389102184 2914.3042455275513
1.500000 516.832327334 2902.295233228771
#1600000 551.322025424 2902.1151454442675
#1700000 584.2137017 2909.894093639331
#1800000 615.914291382 2922.4845488828105
#1900000 646.382843302 2939.434453881832
2.000000 677.255139041 2953.096823793792
#2100000 704.976253794 2978.823738669697
#2200000 731.423554935 3007.8331291853315
#2300000 758.113104764 3033.8480967374758
#2400000 789.418975803 3040.2106784406988
2.500000 823.633451052 3035.330821989845
#2600000 852.975744589 3048.1523261283246
#2700000 1116.87192019 2417.466095432573
#2800000 1154.685476303 2424.9027613691524
#2900000 1186.509141072 2444.1446758512766
3.000000 1216.783148155 2465.5173804378205
#3100000 1245.402332281 2489.155447719643
#3200000 1270.337581963 2519.015453400326
#3300000 1294.194312402 2549.8489433748655
#3400000 1318.450501382 2578.784714660216
3.500000 1339.187242268 2613.5254948161873
#3600000 1358.302244383 2650.3674089379692
#3700000 1376.008343362 2688.937184028836
#3800000 1394.702235229 2724.5959058609146
#3900000 1409.5823495 2766.776982829977
4.000000 1424.818267842 2807.375572225303
#4100000 1442.332177483 2842.6184092730086
#4200000 1456.187434492 2884.2440887187
#4300000 1485.330625373 2894.9783479487423
#4400000 1519.359595391 2895.956963280757
4.500000 1554.190624203 2895.3977265868734
#4600000 1942.845148806 2367.661675366659
#4700000 2026.950413489 2318.75430633247
#4800000 2084.726545531 2302.4602484626557
#4900000 2128.959842715 2301.5934362346516
5.000000 2174.457788092 2299.423804583165
#5100000 2210.461728083 2307.210269785093
#5200000 2247.303091706 2313.8845931335914
#5300000 2282.107576856 2322.4146196042484
#5400000 2314.350842008 2333.267671428243
5.500000 2346.20716876 2344.2090166772523
#5600000 2376.028001571 2356.8745807277314
#5700000 2689.953007358 2118.996125362944
#5800000 2841.814935708 2040.9492282983613
#5900000 2918.671201213 2021.4678506945077
#6000000 2967.047430609 2022.2123644206365
6.000000 3184.481363134 1884.1372631225306
###### Done ######
#set xlabel "Triple Number (*1M)" 
#set ylabel "Loading time (s)" 
#plot "copy_ar_b1000000_6M.dat" u 1:2 title "Buffer size=1M" w linespoints, "bdb_arr_b1G_6M.dat"  u 1:2 title "Berkley DB" w linespoints

