# BDB
# Cache size = 1024*1024*1024 (1G)
# With Index

100000  27.237587109  3671.3971615700652  27.237587109
200000  53.819306992  3716.1385231089857  26.581719883
300000  84.888462499  3534.0491648501  31.069155507
400000  108.302890521  3693.345561469015  23.414428022
500000  130.870876257  3820.5597326185557  22.567985736
600000  171.873600905  3490.937507800509  41.002724648
700000  202.533718042  3456.2146331350073  30.660117137
800000  222.573082333  3594.3250262540273  20.039364291
900000  257.005299834  3501.87330993295  34.432217501
1000000  274.854910609  3638.2831865156986  17.849610775
1100000  306.606062782  3587.6655210895524  31.751152173
1200000  342.148342526  3507.2506595843333  35.542279744
1300000  376.746276481  3450.5981376714717  34.597933955
1400000  419.58090658  3336.6627938611095  42.834630099
1500000  450.47634818  3329.8085594510158  30.8954416
1600000  486.270930314  3290.3468010453166  35.794582134
1700000  533.817851989  3184.606872298888  47.546921675
1800000  579.343931979  3106.962722214628  45.52607999
1900000  624.984638201  3040.0747216269096  45.640706222
2000000  831.423729622  2405.5122902365124  206.439091421
###### Done ######



# BDB
# Cache size = 1024*1024*1024*0.5 (0.5G)
# No Index
100000  27.903261308  3583.8104691844574  27.903261308
200000  53.905614052  3710.188697731375  26.002352744
300000  84.488789147  3550.766948240165  30.583175095
400000  106.784530296  3745.8609303353696  22.295741149
500000  131.120669737  3813.281315622419  24.336139441
600000  174.935694412  3429.831756273304  43.815024675
700000  207.960865836  3366.0179148899433  33.025171424
800000  229.120211927  3491.6168821233805  21.159346091
900000  262.527661757  3428.210170222196  33.40744983
1000000  284.817653431  3511.0183233156235  22.289991674
1100000  318.636686857  3452.207625086391  33.819033426
1200000  356.587094171  3365.23676716282  37.950407314
1300000  392.849540166  3309.1549488658693  36.262445995
1400000  438.822162943  3190.3584600439845  45.972622777
1500000  471.457849531  3181.6205870624067  32.635686588
1600000  509.80810536  3138.435782361999  38.350255829
1700000  561.28720005  3028.7524815256115  51.47909469
1800000  609.866541907  2951.465404827022  48.579341857
1900000  658.526901463  2885.2276129933525  48.660359556
2000000  785.320986467  2546.7293431156027  126.794085004
###### Done ######

# BDB
# Cache size = 1024*1024*1024 (1G)
# No Index
100000  23.903288198  4183.524842760631  23.903288198
200000  48.156448796  4153.130162218534  24.253160598
300000  77.293139282  3881.3276674591466  29.136690486
400000  99.299343422  4028.2240165485227  22.00620414
500000  122.851531898  4069.9533190610537  23.552188476
600000  164.821784753  3640.295491880233  41.970252855
700000  196.605212954  3560.434586054338  31.783428201
800000  216.799783493  3690.040585422588  20.194570539
900000  249.217420161  3611.304536490988  32.417636668
1000000  270.189520317  3701.10579724465  20.972100156
1100000  302.944707428  3631.025639427729  32.755187111
1200000  339.433598614  3535.301174957127  36.488891186
1300000  374.955360248  3467.079385503822  35.521761634
1400000  419.94194814  3333.794126071132  44.986587892
1500000  451.76088232  3320.340602083141  31.81893418
1600000  488.495602305  3275.3621372440007  36.734719985
1700000  538.194169861  3158.711288974128  49.698567556
1800000  585.513084833  3074.226770719216  47.318914972
1900000  633.291505207  3000.1981463164566  47.778420374
2000000  807.418751616  2477.0294175074837  174.127246409
###### Done ######

# BDB
# Cache size = 1024*1024*1024 (1.5G)
# No Index
100000  25.183228384  3970.896760144317  25.183228384
200000  50.558090064  3955.845637104287  25.37486168
300000  77.47251606  3872.3409959689384  26.914425996
400000  102.558302801  3900.2205484634815  25.085786741
500000  126.464998554  3953.6631140394325  23.906695753
600000  168.882364587  3552.7688250178962  42.417366033
700000  200.861242071  3484.9928875405717  31.978877484
800000  221.125298816  3617.8583105756975  20.264056745
900000  253.639949769  3548.336927284782  32.514650953
1000000  272.041739242  3675.9065090023946  18.401789473
1100000  307.586799787  3576.226290470645  35.545060545
1200000  344.148646476  3486.8653771784766  36.561846689
1300000  379.677040726  3423.962632858187  35.52839425
1400000  424.659613303  3296.7580531400386  44.982572577
1500000  456.420878631  3286.4403672749086  31.761265328
1600000  492.552011777  3248.387909791729  36.131133146
1700000  541.922227405  3136.9814966632152  49.370215628
1800000  588.842445687  3056.8448541442144  46.920218282
1900000  636.462970083  2985.2483008590816  47.620524396
2000000  756.169639926  2644.9091505389233  119.706669843
###### Done ######

